question_ref,prep_test,section_number,section_label,question_number,question_label,module_id,section_id,source_item_id
PT 34 · S3 · Q22,PT 34,3,S3,22,Q22,LSAC034,LB:52,11864-04
PT 34 · S3 · Q23,PT 34,3,S3,23,Q23,LSAC034,LB:52,11458-09
PT 34 · S3 · Q24,PT 34,3,S3,24,Q24,LSAC034,LB:52,CD003214
PT 34 · S3 · Q25,PT 34,3,S3,25,Q25,LSAC034,LB:52,11309-06
PT 34 · S3 · Q26,PT 34,3,S3,26,Q26,LSAC034,LB:52,11565-03
PT 34 · S4 (RC) · Q1,PT 34,4,S4,1,Q1,LSAC034,RC:52,09100-01
PT 34 · S4 (RC) · Q2,PT 34,4,S4,2,Q2,LSAC034,RC:52,09100-09
PT 34 · S4 (RC) · Q3,PT 34,4,S4,3,Q3,LSAC034,RC:52,09100-02
PT 34 · S4 (RC) · Q4,PT 34,4,S4,4,Q4,LSAC034,RC:52,09100-05
PT 34 · S4 (RC) · Q5,PT 34,4,S4,5,Q5,LSAC034,RC:52,09100-07
PT 34 · S4 (RC) · Q6,PT 34,4,S4,6,Q6,LSAC034,RC:52,09100-11
PT 34 · S4 (RC) · Q7,PT 34,4,S4,7,Q7,LSAC034,RC:52,12144-07
PT 34 · S4 (RC) · Q8,PT 34,4,S4,8,Q8,LSAC034,RC:52,12144-03
PT 34 · S4 (RC) · Q9,PT 34,4,S4,9,Q9,LSAC034,RC:52,12144-04
PT 34 · S4 (RC) · Q10,PT 34,4,S4,10,Q10,LSAC034,RC:52,12144-06
PT 34 · S4 (RC) · Q11,PT 34,4,S4,11,Q11,LSAC034,RC:52,12144-05
PT 34 · S4 (RC) · Q12,PT 34,4,S4,12,Q12,LSAC034,RC:52,12144-11
PT 34 · S4 (RC) · Q13,PT 34,4,S4,13,Q13,LSAC034,RC:52,09352-07
PT 34 · S4 (RC) · Q14,PT 34,4,S4,14,Q14,LSAC034,RC:52,09352-03
PT 34 · S4 (RC) · Q15,PT 34,4,S4,15,Q15,LSAC034,RC:52,09352-06
PT 34 · S4 (RC) · Q16,PT 34,4,S4,16,Q16,LSAC034,RC:52,09352-11
PT 34 · S4 (RC) · Q17,PT 34,4,S4,17,Q17,LSAC034,RC:52,09352-02
PT 34 · S4 (RC) · Q18,PT 34,4,S4,18,Q18,LSAC034,RC:52,09352-09
PT 34 · S4 (RC) · Q19,PT 34,4,S4,19,Q19,LSAC034,RC:52,XD001031
PT 34 · S4 (RC) · Q20,PT 34,4,S4,20,Q20,LSAC034,RC:52,XD001033
PT 34 · S4 (RC) · Q21,PT 34,4,S4,21,Q21,LSAC034,RC:52,XD001036
PT 34 · S4 (RC) · Q22,PT 34,4,S4,22,Q22,LSAC034,RC:52,XD001032
PT 34 · S4 (RC) · Q23,PT 34,4,S4,23,Q23,LSAC034,RC:52,XD001029
PT 34 · S4 (RC) · Q24,PT 34,4,S4,24,Q24,LSAC034,RC:52,XD001034
PT 34 · S4 (RC) · Q25,PT 34,4,S4,25,Q25,LSAC034,RC:52,XD001028
PT 34 · S4 (RC) · Q26,PT 34,4,S4,26,Q26,LSAC034,RC:52,XD001030
PT 35 · S1 · Q1,PT 35,1,S1,1,Q1,LSAC035,AR:51,JC001104
PT 35 · S1 · Q2,PT 35,1,S1,2,Q2,LSAC035,AR:51,JC001112
PT 35 · S1 · Q3,PT 35,1,S1,3,Q3,LSAC035,AR:51,JC001110
PT 35 · S1 · Q4,PT 35,1,S1,4,Q4,LSAC035,AR:51,JC001107
PT 35 · S1 · Q5,PT 35,1,S1,5,Q5,LSAC035,AR:51,JC001109
PT 35 · S1 · Q6,PT 35,1,S1,6,Q6,LSAC035,AR:51,12173-02
PT 35 · S1 · Q7,PT 35,1,S1,7,Q7,LSAC035,AR:51,12173-06
PT 35 · S1 · Q8,PT 35,1,S1,8,Q8,LSAC035,AR:51,12173-12
PT 35 · S1 · Q9,PT 35,1,S1,9,Q9,LSAC035,AR:51,12173-10
PT 35 · S1 · Q10,PT 35,1,S1,10,Q10,LSAC035,AR:51,12173-07
PT 35 · S1 · Q11,PT 35,1,S1,11,Q11,LSAC035,AR:51,12173-11
PT 35 · S1 · Q12,PT 35,1,S1,12,Q12,LSAC035,AR:51,12173-09
PT 35 · S1 · Q13,PT 35,1,S1,13,Q13,LSAC035,AR:51,WB000546
PT 35 · S1 · Q14,PT 35,1,S1,14,Q14,LSAC035,AR:51,WB000547
PT 35 · S1 · Q15,PT 35,1,S1,15,Q15,LSAC035,AR:51,WB000548
PT 35 · S1 · Q16,PT 35,1,S1,16,Q16,LSAC035,AR:51,WB000550
PT 35 · S1 · Q17,PT 35,1,S1,17,Q17,LSAC035,AR:51,WB000551
PT 35 · S1 · Q18,PT 35,1,S1,18,Q18,LSAC035,AR:51,10983-01
PT 35 · S1 · Q19,PT 35,1,S1,19,Q19,LSAC035,AR:51,10983-11
PT 35 · S1 · Q20,PT 35,1,S1,20,Q20,LSAC035,AR:51,10983-04
PT 35 · S1 · Q21,PT 35,1,S1,21,Q21,LSAC035,AR:51,10983-02
PT 35 · S1 · Q22,PT 35,1,S1,22,Q22,LSAC035,AR:51,10983-07
PT 35 · S1 · Q23,PT 35,1,S1,23,Q23,LSAC035,AR:51,10983-10
PT 35 · S2 · Q1,PT 35,2,S2,1,Q1,LSAC035,LA:51,11997-02
PT 35 · S2 · Q2,PT 35,2,S2,2,Q2,LSAC035,LA:51,09552-03
PT 35 · S2 · Q3,PT 35,2,S2,3,Q3,LSAC035,LA:51,09268-05
PT 35 · S2 · Q4,PT 35,2,S2,4,Q4,LSAC035,LA:51,09296-04
PT 35 · S2 · Q5,PT 35,2,S2,5,Q5,LSAC035,LA:51,AK001996
PT 35 · S2 · Q6,PT 35,2,S2,6,Q6,LSAC035,LA:51,AK001997
PT 35 · S2 · Q7,PT 35,2,S2,7,Q7,LSAC035,LA:51,10623-04
PT 35 · S2 · Q8,PT 35,2,S2,8,Q8,LSAC035,LA:51,11963-09
PT 35 · S2 · Q9,PT 35,2,S2,9,Q9,LSAC035,LA:51,04310-08
PT 35 · S2 · Q10,PT 35,2,S2,10,Q10,LSAC035,LA:51,10662-04
PT 35 · S2 · Q11,PT 35,2,S2,11,Q11,LSAC035,LA:51,11312-08
PT 35 · S2 · Q12,PT 35,2,S2,12,Q12,LSAC035,LA:51,08829-09
PT 35 · S2 · Q13,PT 35,2,S2,13,Q13,LSAC035,LA:51,09657-09
PT 35 · S2 · Q14,PT 35,2,S2,14,Q14,LSAC035,LA:51,11916-01
PT 35 · S2 · Q15,PT 35,2,S2,15,Q15,LSAC035,LA:51,09266-05
PT 35 · S2 · Q16,PT 35,2,S2,16,Q16,LSAC035,LA:51,YC000279
PT 35 · S2 · Q17,PT 35,2,S2,17,Q17,LSAC035,LA:51,YC000280
PT 35 · S2 · Q18,PT 35,2,S2,18,Q18,LSAC035,LA:51,09687-06
PT 35 · S2 · Q19,PT 35,2,S2,19,Q19,LSAC035,LA:51,10309-01
PT 35 · S2 · Q20,PT 35,2,S2,20,Q20,LSAC035,LA:51,11853-09
PT 35 · S2 · Q21,PT 35,2,S2,21,Q21,LSAC035,LA:51,10662-03
PT 35 · S2 · Q22,PT 35,2,S2,22,Q22,LSAC035,LA:51,12194-06
PT 35 · S2 · Q23,PT 35,2,S2,23,Q23,LSAC035,LA:51,11429-05
PT 35 · S2 · Q24,PT 35,2,S2,24,Q24,LSAC035,LA:51,XG002645
PT 35 · S2 · Q25,PT 35,2,S2,25,Q25,LSAC035,LA:51,EW000043
PT 35 · S2 · Q26,PT 35,2,S2,26,Q26,LSAC035,LA:51,11013-04
PT 35 · S3 · Q1,PT 35,3,S3,1,Q1,LSAC035,LB:51,11882-01
PT 35 · S3 · Q2,PT 35,3,S3,2,Q2,LSAC035,LB:51,11865-04
PT 35 · S3 · Q3,PT 35,3,S3,3,Q3,LSAC035,LB:51,12383-02
PT 35 · S3 · Q4,PT 35,3,S3,4,Q4,LSAC035,LB:51,10288-10
PT 35 · S3 · Q5,PT 35,3,S3,5,Q5,LSAC035,LB:51,08385-08
PT 35 · S3 · Q6,PT 35,3,S3,6,Q6,LSAC035,LB:51,10288-06
PT 35 · S3 · Q7,PT 35,3,S3,7,Q7,LSAC035,LB:51,08900-06
PT 35 · S3 · Q8,PT 35,3,S3,8,Q8,LSAC035,LB:51,11428-05
PT 35 · S3 · Q9,PT 35,3,S3,9,Q9,LSAC035,LB:51,10731-01
PT 35 · S3 · Q10,PT 35,3,S3,10,Q10,LSAC035,LB:51,WA000863
PT 35 · S3 · Q11,PT 35,3,S3,11,Q11,LSAC035,LB:51,11566-03
PT 35 · S3 · Q12,PT 35,3,S3,12,Q12,LSAC035,LB:51,09999-09
PT 35 · S3 · Q13,PT 35,3,S3,13,Q13,LSAC035,LB:51,08383-09
PT 35 · S3 · Q14,PT 35,3,S3,14,Q14,LSAC035,LB:51,08765-08
PT 35 · S3 · Q15,PT 35,3,S3,15,Q15,LSAC035,LB:51,09963-03
PT 35 · S3 · Q16,PT 35,3,S3,16,Q16,LSAC035,LB:51,12196-08
PT 35 · S3 · Q17,PT 35,3,S3,17,Q17,LSAC035,LB:51,08374-05
PT 35 · S3 · Q18,PT 35,3,S3,18,Q18,LSAC035,LB:51,10457-06
PT 35 · S3 · Q19,PT 35,3,S3,19,Q19,LSAC035,LB:51,11044-10
PT 35 · S3 · Q20,PT 35,3,S3,20,Q20,LSAC035,LB:51,11565-01
PT 35 · S3 · Q21,PT 35,3,S3,21,Q21,LSAC035,LB:51,10204-06
PT 35 · S3 · Q22,PT 35,3,S3,22,Q22,LSAC035,LB:51,08379-09
PT 35 · S3 · Q23,PT 35,3,S3,23,Q23,LSAC035,LB:51,10703-04
PT 35 · S3 · Q24,PT 35,3,S3,24,Q24,LSAC035,LB:51,12193-05
PT 35 · S3 · Q25,PT 35,3,S3,25,Q25,LSAC035,LB:51,AK001928
PT 35 · S3 · Q26,PT 35,3,S3,26,Q26,LSAC035,LB:51,AK001929
PT 35 · S4 (RC) · Q1,PT 35,4,S4,1,Q1,LSAC035,RC:51,09638-01
PT 35 · S4 (RC) · Q2,PT 35,4,S4,2,Q2,LSAC035,RC:51,09638-08
PT 35 · S4 (RC) · Q3,PT 35,4,S4,3,Q3,LSAC035,RC:51,09638-04
PT 35 · S4 (RC) · Q4,PT 35,4,S4,4,Q4,LSAC035,RC:51,09638-03
PT 35 · S4 (RC) · Q5,PT 35,4,S4,5,Q5,LSAC035,RC:51,09638-07
PT 35 · S4 (RC) · Q6,PT 35,4,S4,6,Q6,LSAC035,RC:51,09638-11
PT 35 · S4 (RC) · Q7,PT 35,4,S4,7,Q7,LSAC035,RC:51,09168-01
PT 35 · S4 (RC) · Q8,PT 35,4,S4,8,Q8,LSAC035,RC:51,09168-03
PT 35 · S4 (RC) · Q9,PT 35,4,S4,9,Q9,LSAC035,RC:51,09168-05
PT 35 · S4 (RC) · Q10,PT 35,4,S4,10,Q10,LSAC035,RC:51,09168-08
PT 35 · S4 (RC) · Q11,PT 35,4,S4,11,Q11,LSAC035,RC:51,09168-09
PT 35 · S4 (RC) · Q12,PT 35,4,S4,12,Q12,LSAC035,RC:51,09168-02
PT 35 · S4 (RC) · Q13,PT 35,4,S4,13,Q13,LSAC035,RC:51,09168-04
PT 35 · S4 (RC) · Q14,PT 35,4,S4,14,Q14,LSAC035,RC:51,09168-10
PT 35 · S4 (RC) · Q15,PT 35,4,S4,15,Q15,LSAC035,RC:51,XC001272
PT 35 · S4 (RC) · Q16,PT 35,4,S4,16,Q16,LSAC035,RC:51,XC001273
PT 35 · S4 (RC) · Q17,PT 35,4,S4,17,Q17,LSAC035,RC:51,XC001274
PT 35 · S4 (RC) · Q18,PT 35,4,S4,18,Q18,LSAC035,RC:51,XC001275
PT 35 · S4 (RC) · Q19,PT 35,4,S4,19,Q19,LSAC035,RC:51,XC001279
PT 35 · S4 (RC) · Q20,PT 35,4,S4,20,Q20,LSAC035,RC:51,XC001282
PT 35 · S4 (RC) · Q21,PT 35,4,S4,21,Q21,LSAC035,RC:51,11714-01
PT 35 · S4 (RC) · Q22,PT 35,4,S4,22,Q22,LSAC035,RC:51,11714-05
PT 35 · S4 (RC) · Q23,PT 35,4,S4,23,Q23,LSAC035,RC:51,11714-09
PT 35 · S4 (RC) · Q24,PT 35,4,S4,24,Q24,LSAC035,RC:51,11714-02
PT 35 · S4 (RC) · Q25,PT 35,4,S4,25,Q25,LSAC035,RC:51,11714-06
PT 35 · S4 (RC) · Q26,PT 35,4,S4,26,Q26,LSAC035,RC:51,11714-07
PT 36 · S1 · Q1,PT 36,1,S1,1,Q1,LSAC036,AR:50,12252-02
PT 36 · S1 · Q2,PT 36,1,S1,2,Q2,LSAC036,AR:50,12252-03
PT 36 · S1 · Q3,PT 36,1,S1,3,Q3,LSAC036,AR:50,12252-05
PT 36 · S1 · Q4,PT 36,1,S1,4,Q4,LSAC036,AR:50,12252-09
PT 36 · S1 · Q5,PT 36,1,S1,5,Q5,LSAC036,AR:50,12252-11
PT 36 · S1 · Q6,PT 36,1,S1,6,Q6,LSAC036,AR:50,12252-12
PT 36 · S1 · Q7,PT 36,1,S1,7,Q7,LSAC036,AR:50,12289-02
PT 36 · S1 · Q8,PT 36,1,S1,8,Q8,LSAC036,AR:50,12289-03
PT 36 · S1 · Q9,PT 36,1,S1,9,Q9,LSAC036,AR:50,12289-08
PT 36 · S1 · Q10,PT 36,1,S1,10,Q10,LSAC036,AR:50,12289-11
PT 36 · S1 · Q11,PT 36,1,S1,11,Q11,LSAC036,AR:50,12289-04
PT 36 · S1 · Q12,PT 36,1,S1,12,Q12,LSAC036,AR:50,12289-10
PT 36 · S1 · Q13,PT 36,1,S1,13,Q13,LSAC036,AR:50,12289-09
PT 36 · S1 · Q14,PT 36,1,S1,14,Q14,LSAC036,AR:50,10292-01
PT 36 · S1 · Q15,PT 36,1,S1,15,Q15,LSAC036,AR:50,10292-08
PT 36 · S1 · Q16,PT 36,1,S1,16,Q16,LSAC036,AR:50,10292-06
PT 36 · S1 · Q17,PT 36,1,S1,17,Q17,LSAC036,AR:50,10292-09
PT 36 · S1 · Q18,PT 36,1,S1,18,Q18,LSAC036,AR:50,10292-07
PT 36 · S1 · Q19,PT 36,1,S1,19,Q19,LSAC036,AR:50,WB000618
PT 36 · S1 · Q20,PT 36,1,S1,20,Q20,LSAC036,AR:50,WB000619
PT 36 · S1 · Q21,PT 36,1,S1,21,Q21,LSAC036,AR:50,WB000623
PT 36 · S1 · Q22,PT 36,1,S1,22,Q22,LSAC036,AR:50,WB000621
PT 36 · S1 · Q23,PT 36,1,S1,23,Q23,LSAC036,AR:50,WB000620
PT 36 · S2 · Q1,PT 36,2,S2,1,Q1,LSAC036,LA:50,WI000091
PT 36 · S2 · Q2,PT 36,2,S2,2,Q2,LSAC036,LA:50,08374-06
PT 36 · S2 · Q3,PT 36,2,S2,3,Q3,LSAC036,LA:50,AK001574
PT 36 · S2 · Q4,PT 36,2,S2,4,Q4,LSAC036,LA:50,12193-02
PT 36 · S2 · Q5,PT 36,2,S2,5,Q5,LSAC036,LA:50,11963-02
PT 36 · S2 · Q6,PT 36,2,S2,6,Q6,LSAC036,LA:50,XG001755
PT 36 · S2 · Q7,PT 36,2,S2,7,Q7,LSAC036,LA:50,XG001756
PT 36 · S2 · Q8,PT 36,2,S2,8,Q8,LSAC036,LA:50,XG001852
PT 36 · S2 · Q9,PT 36,2,S2,9,Q9,LSAC036,LA:50,AK001960
PT 36 · S2 · Q10,PT 36,2,S2,10,Q10,LSAC036,LA:50,CD003140
PT 36 · S2 · Q11,PT 36,2,S2,11,Q11,LSAC036,LA:50,000A-014
PT 36 · S2 · Q12,PT 36,2,S2,12,Q12,LSAC036,LA:50,10922-03
PT 36 · S2 · Q13,PT 36,2,S2,13,Q13,LSAC036,LA:50,12340-10
PT 36 · S2 · Q14,PT 36,2,S2,14,Q14,LSAC036,LA:50,11564-01
PT 36 · S2 · Q15,PT 36,2,S2,15,Q15,LSAC036,LA:50,11629-10
PT 36 · S2 · Q16,PT 36,2,S2,16,Q16,LSAC036,LA:50,10692-03
PT 36 · S2 · Q17,PT 36,2,S2,17,Q17,LSAC036,LA:50,09658-03
PT 36 · S2 · Q18,PT 36,2,S2,18,Q18,LSAC036,LA:50,09608-07
PT 36 · S2 · Q19,PT 36,2,S2,19,Q19,LSAC036,LA:50,SB000380
PT 36 · S2 · Q20,PT 36,2,S2,20,Q20,LSAC036,LA:50,11917-05
PT 36 · S2 · Q21,PT 36,2,S2,21,Q21,LSAC036,LA:50,10701-08
PT 36 · S2 · Q22,PT 36,2,S2,22,Q22,LSAC036,LA:50,12195-08
PT 36 · S2 · Q23,PT 36,2,S2,23,Q23,LSAC036,LA:50,08381-10
PT 36 · S2 · Q24,PT 36,2,S2,24,Q24,LSAC036,LA:50,10841-06
PT 36 · S2 · Q25,PT 36,2,S2,25,Q25,LSAC036,LA:50,JC001962
PT 36 · S2 · Q26,PT 36,2,S2,26,Q26,LSAC036,LA:50,12027-07
PT 36 · S3 · Q1,PT 36,3,S3,1,Q1,LSAC036,LB:50,12372-05
PT 36 · S3 · Q2,PT 36,3,S3,2,Q2,LSAC036,LB:50,CD003509
PT 36 · S3 · Q3,PT 36,3,S3,3,Q3,LSAC036,LB:50,11997-01
PT 36 · S3 · Q4,PT 36,3,S3,4,Q4,LSAC036,LB:50,12381-04
PT 36 · S3 · Q5,PT 36,3,S3,5,Q5,LSAC036,LB:50,11445-07
PT 36 · S3 · Q6,PT 36,3,S3,6,Q6,LSAC036,LB:50,08829-06
PT 36 · S3 · Q7,PT 36,3,S3,7,Q7,LSAC036,LB:50,12192-07
PT 36 · S3 · Q8,PT 36,3,S3,8,Q8,LSAC036,LB:50,10285-03
PT 36 · S3 · Q9,PT 36,3,S3,9,Q9,LSAC036,LB:50,08570-09
PT 36 · S3 · Q10,PT 36,3,S3,10,Q10,LSAC036,LB:50,AK002007
PT 36 · S3 · Q11,PT 36,3,S3,11,Q11,LSAC036,LB:50,AK002006
PT 36 · S3 · Q12,PT 36,3,S3,12,Q12,LSAC036,LB:50,12340-06
PT 36 · S3 · Q13,PT 36,3,S3,13,Q13,LSAC036,LB:50,10706-06
PT 36 · S3 · Q14,PT 36,3,S3,14,Q14,LSAC036,LB:50,12016-05
PT 36 · S3 · Q15,PT 36,3,S3,15,Q15,LSAC036,LB:50,11352-04
PT 36 · S3 · Q16,PT 36,3,S3,16,Q16,LSAC036,LB:50,12381-10
PT 36 · S3 · Q17,PT 36,3,S3,17,Q17,LSAC036,LB:50,10922-01
PT 36 · S3 · Q18,PT 36,3,S3,18,Q18,LSAC036,LB:50,12138-10
PT 36 · S3 · Q19,PT 36,3,S3,19,Q19,LSAC036,LB:50,09317-06
PT 36 · S3 · Q20,PT 36,3,S3,20,Q20,LSAC036,LB:50,09424-01
PT 36 · S3 · Q21,PT 36,3,S3,21,Q21,LSAC036,LB:50,08610-10
PT 36 · S3 · Q22,PT 36,3,S3,22,Q22,LSAC036,LB:50,EY000801
PT 36 · S3 · Q23,PT 36,3,S3,23,Q23,LSAC036,LB:50,YC000433
PT 36 · S3 · Q24,PT 36,3,S3,24,Q24,LSAC036,LB:50,YC000434
PT 36 · S3 · Q25,PT 36,3,S3,25,Q25,LSAC036,LB:50,10623-05
PT 36 · S3 · Q26,PT 36,3,S3,26,Q26,LSAC036,LB:50,EV000194
PT 36 · S4 (RC) · Q1,PT 36,4,S4,1,Q1,LSAC036,RC:50,11112-01
PT 36 · S4 (RC) · Q2,PT 36,4,S4,2,Q2,LSAC036,RC:50,11112-10
PT 36 · S4 (RC) · Q3,PT 36,4,S4,3,Q3,LSAC036,RC:50,11112-05
PT 36 · S4 (RC) · Q4,PT 36,4,S4,4,Q4,LSAC036,RC:50,11112-11
PT 36 · S4 (RC) · Q5,PT 36,4,S4,5,Q5,LSAC036,RC:50,11112-06
PT 36 · S4 (RC) · Q6,PT 36,4,S4,6,Q6,LSAC036,RC:50,11112-12
PT 36 · S4 (RC) · Q7,PT 36,4,S4,7,Q7,LSAC036,RC:50,HN001461
PT 36 · S4 (RC) · Q8,PT 36,4,S4,8,Q8,LSAC036,RC:50,HN001465
PT 36 · S4 (RC) · Q9,PT 36,4,S4,9,Q9,LSAC036,RC:50,HN001466
PT 36 · S4 (RC) · Q10,PT 36,4,S4,10,Q10,LSAC036,RC:50,HN001565
PT 36 · S4 (RC) · Q11,PT 36,4,S4,11,Q11,LSAC036,RC:50,HN001467
PT 36 · S4 (RC) · Q12,PT 36,4,S4,12,Q12,LSAC036,RC:50,HN001566
PT 36 · S4 (RC) · Q13,PT 36,4,S4,13,Q13,LSAC036,RC:50,HN001463
PT 36 · S4 (RC) · Q14,PT 36,4,S4,14,Q14,LSAC036,RC:50,HN001462
PT 36 · S4 (RC) · Q15,PT 36,4,S4,15,Q15,LSAC036,RC:50,XC001168
PT 36 · S4 (RC) · Q16,PT 36,4,S4,16,Q16,LSAC036,RC:50,XC001171
PT 36 · S4 (RC) · Q17,PT 36,4,S4,17,Q17,LSAC036,RC:50,XC001174
PT 36 · S4 (RC) · Q18,PT 36,4,S4,18,Q18,LSAC036,RC:50,XC001179
PT 36 · S4 (RC) · Q19,PT 36,4,S4,19,Q19,LSAC036,RC:50,XC001172
PT 36 · S4 (RC) · Q20,PT 36,4,S4,20,Q20,LSAC036,RC:50,XC001175
PT 36 · S4 (RC) · Q21,PT 36,4,S4,21,Q21,LSAC036,RC:50,10742-01
PT 36 · S4 (RC) · Q22,PT 36,4,S4,22,Q22,LSAC036,RC:50,10742-05
PT 36 · S4 (RC) · Q23,PT 36,4,S4,23,Q23,LSAC036,RC:50,10742-10
PT 36 · S4 (RC) · Q24,PT 36,4,S4,24,Q24,LSAC036,RC:50,10742-03
PT 36 · S4 (RC) · Q25,PT 36,4,S4,25,Q25,LSAC036,RC:50,10742-06
PT 36 · S4 (RC) · Q26,PT 36,4,S4,26,Q26,LSAC036,RC:50,10742-08
PT 37 · S1 · Q1,PT 37,1,S1,1,Q1,LSAC037,AR:56,08905-07
PT 37 · S1 · Q2,PT 37,1,S1,2,Q2,LSAC037,AR:56,08905-02
PT 37 · S1 · Q3,PT 37,1,S1,3,Q3,LSAC037,AR:56,08905-08
PT 37 · S1 · Q4,PT 37,1,S1,4,Q4,LSAC037,AR:56,08905-06
PT 37 · S1 · Q5,PT 37,1,S1,5,Q5,LSAC037,AR:56,08905-10
PT 37 · S1 · Q6,PT 37,1,S1,6,Q6,LSAC037,AR:56,12699-02
PT 37 · S1 · Q7,PT 37,1,S1,7,Q7,LSAC037,AR:56,12699-04
PT 37 · S1 · Q8,PT 37,1,S1,8,Q8,LSAC037,AR:56,12699-10
PT 37 · S1 · Q9,PT 37,1,S1,9,Q9,LSAC037,AR:56,12699-07
PT 37 · S1 · Q10,PT 37,1,S1,10,Q10,LSAC037,AR:56,12699-01
PT 37 · S1 · Q11,PT 37,1,S1,11,Q11,LSAC037,AR:56,12699-03
PT 37 · S1 · Q12,PT 37,1,S1,12,Q12,LSAC037,AR:56,12139-01
PT 37 · S1 · Q13,PT 37,1,S1,13,Q13,LSAC037,AR:56,12139-06
PT 37 · S1 · Q14,PT 37,1,S1,14,Q14,LSAC037,AR:56,12139-07
PT 37 · S1 · Q15,PT 37,1,S1,15,Q15,LSAC037,AR:56,12139-09
PT 37 · S1 · Q16,PT 37,1,S1,16,Q16,LSAC037,AR:56,12139-05
PT 37 · S1 · Q17,PT 37,1,S1,17,Q17,LSAC037,AR:56,12139-08
PT 37 · S1 · Q18,PT 37,1,S1,18,Q18,LSAC037,AR:56,12139-10
PT 37 · S1 · Q19,PT 37,1,S1,19,Q19,LSAC037,AR:56,12292-01
PT 37 · S1 · Q20,PT 37,1,S1,20,Q20,LSAC037,AR:56,12292-12
PT 37 · S1 · Q21,PT 37,1,S1,21,Q21,LSAC037,AR:56,12292-13
PT 37 · S1 · Q22,PT 37,1,S1,22,Q22,LSAC037,AR:56,12292-03
PT 37 · S1 · Q23,PT 37,1,S1,23,Q23,LSAC037,AR:56,12292-07
PT 37 · S1 · Q24,PT 37,1,S1,24,Q24,LSAC037,AR:56,12292-02
PT 37 · S2 · Q1,PT 37,2,S2,1,Q1,LSAC037,LA:56,10702-07
PT 37 · S2 · Q2,PT 37,2,S2,2,Q2,LSAC037,LA:56,WA000777
PT 37 · S2 · Q3,PT 37,2,S2,3,Q3,LSAC037,LA:56,09140-03
PT 37 · S2 · Q4,PT 37,2,S2,4,Q4,LSAC037,LA:56,09554-09
PT 37 · S2 · Q5,PT 37,2,S2,5,Q5,LSAC037,LA:56,12692-08
PT 37 · S2 · Q6,PT 37,2,S2,6,Q6,LSAC037,LA:56,12368-04
PT 37 · S2 · Q7,PT 37,2,S2,7,Q7,LSAC037,LA:56,12027-02
PT 37 · S2 · Q8,PT 37,2,S2,8,Q8,LSAC037,LA:56,13129-07
PT 37 · S2 · Q9,PT 37,2,S2,9,Q9,LSAC037,LA:56,09318-02
PT 37 · S2 · Q10,PT 37,2,S2,10,Q10,LSAC037,LA:56,XG001791
PT 37 · S2 · Q11,PT 37,2,S2,11,Q11,LSAC037,LA:56,XG001792
PT 37 · S2 · Q12,PT 37,2,S2,12,Q12,LSAC037,LA:56,12446-02
PT 37 · S2 · Q13,PT 37,2,S2,13,Q13,LSAC037,LA:56,CD003271
PT 37 · S2 · Q14,PT 37,2,S2,14,Q14,LSAC037,LA:56,XG001610
PT 37 · S2 · Q15,PT 37,2,S2,15,Q15,LSAC037,LA:56,13135-07
PT 37 · S2 · Q16,PT 37,2,S2,16,Q16,LSAC037,LA:56,09268-04
PT 37 · S2 · Q17,PT 37,2,S2,17,Q17,LSAC037,LA:56,09546-09
PT 37 · S2 · Q18,PT 37,2,S2,18,Q18,LSAC037,LA:56,09975-03
PT 37 · S2 · Q19,PT 37,2,S2,19,Q19,LSAC037,LA:56,13130-04
PT 37 · S2 · Q20,PT 37,2,S2,20,Q20,LSAC037,LA:56,12179-10
PT 37 · S2 · Q21,PT 37,2,S2,21,Q21,LSAC037,LA:56,10275-04
PT 37 · S2 · Q22,PT 37,2,S2,22,Q22,LSAC037,LA:56,13679-06
PT 37 · S2 · Q23,PT 37,2,S2,23,Q23,LSAC037,LA:56,YC000131
PT 37 · S2 · Q24,PT 37,2,S2,24,Q24,LSAC037,LA:56,YC000130
PT 37 · S2 · Q25,PT 37,2,S2,25,Q25,LSAC037,LA:56,12171-03
PT 37 · S2 · Q26,PT 37,2,S2,26,Q26,LSAC037,LA:56,13289-08
PT 37 · S3 · Q1,PT 37,3,S3,1,Q1,LSAC037,LB:56,11526-10
PT 37 · S3 · Q2,PT 37,3,S3,2,Q2,LSAC037,LB:56,10280-08
PT 37 · S3 · Q3,PT 37,3,S3,3,Q3,LSAC037,LB:56,13664-03
PT 37 · S3 · Q4,PT 37,3,S3,4,Q4,LSAC037,LB:56,YZ000786
PT 37 · S3 · Q5,PT 37,3,S3,5,Q5,LSAC037,LB:56,CD003222
PT 37 · S3 · Q6,PT 37,3,S3,6,Q6,LSAC037,LB:56,11628-04
PT 37 · S3 · Q7,PT 37,3,S3,7,Q7,LSAC037,LB:56,11203-06
PT 37 · S3 · Q8,PT 37,3,S3,8,Q8,LSAC037,LB:56,12444-05
PT 37 · S3 · Q9,PT 37,3,S3,9,Q9,LSAC037,LB:56,12444-02
PT 37 · S3 · Q10,PT 37,3,S3,10,Q10,LSAC037,LB:56,WI000121
PT 37 · S3 · Q11,PT 37,3,S3,11,Q11,LSAC037,LB:56,WI000122
PT 37 · S3 · Q12,PT 37,3,S3,12,Q12,LSAC037,LB:56,11353-07
PT 37 · S3 · Q13,PT 37,3,S3,13,Q13,LSAC037,LB:56,09687-10
